Car Name,Category,HP,Torque (ft-lb),Drivetrain
Abarth 500 Assetto Corse,ABARTH,195,223,FWD
Abarth 500 EsseEsse,ABARTH,160,170,FWD
Abarth 500 EsseEsse Step1,ABARTH,175,181,FWD
Abarth 595 SS,ABARTH,32,32,RWD
Abarth 595 SS Step 1,ABARTH,32,32,RWD
Abarth 595 SS Step 2,ABARTH,65,59,RWD
Alfa Romeo 155 TI V6,ALFA ROMEO,420,217,AWD
Alfa Romeo 33 Stradale,ALFA ROMEO,230,152,RWD
Alfa Romeo 4C,ALFA ROMEO,240,258,RWD
Alfa Romeo Giulia Quadrifoglio,ALFA ROMEO,510,443,RWD
Alfa Romeo GTA,ALFA ROMEO,170,148,RWD
Alfa Romeo Mito QV,ALFA ROMEO,168,184,FWD
Aston Martin Vantage AMR GT3,ASTON MARTIN,487,440,RWD
Audi R8 LMS 2016,AUDI,500,369,RWD
Audi R8 LMS Ultra,AUDI,570,369,RWD
Audi R8 V10 Plus,AUDI,550,398,AWD
Audi R18 e-tron quattro 2014,AUDI,700,627,AWD
Audi S1,AUDI,231,273,AWD
Audi Sport quattro,AUDI,306,258,AWD
Audi Sport quattro Step1,AUDI,373,313,AWD
Audi Sport quattro S1 E2,AUDI,540,420,AWD
Audi TT Cup,AUDI,310,295,FWD
Audi TT RS (VLN),AUDI,390,391,FWD
BMW 1M,BMW,340,369,RWD
BMW 1M Stage 3,BMW,400,428,RWD
BMW M235i Racing,BMW,333,369,RWD
BMW M3 E30,BMW,238,177,RWD
BMW M3 E30 Drift,BMW,343,269,RWD
BMW M3 E30 Group A,BMW,290,229,RWD
BMW M3 E30 Gr.A 92,BMW,350,229,RWD
BMW M3 E30 Step1,BMW,238,177,RWD
BMW M3 E92,BMW,414,295,RWD
BMW M3 E92 drift,BMW,414,295,RWD
BMW M3 E92 Step1,BMW,414,295,RWD
BMW M3 GT2,BMW,485,368,RWD
BMW M4,BMW,431,406,RWD
BMW M4 Akrapovic,BMW,445,434,RWD
BMW M8 Competition Stage 3,BMW,888,776,RWD
BMW Z4 E89,BMW,330,369,RWD
BMW Z4 E89 Drift,BMW,390,428,RWD
BMW Z4 E89 Step1,BMW,330,369,RWD
BMW Z4 GT3,BMW,530,384,RWD
Bugatti Bolide,BUGATTI,1850,0,RWD
Bugatti Chiron SuperSport,BUGATTI,1500,1180,RWD
Camaro GT3,CHEVROLET,500,590,RWD
Camaro GT Race Car,CHEVROLET,650,590,RWD
Chevelle SS 454 LS6,CHEVROLET,450,361,RWD
Chevrolet Camaro GT4.R,CHEVROLET,443,376,RWD
Chevrolet Corvette C7 Stingray,CHEVROLET,455,461,RWD
Chevrolet Corvette C7R,CHEVROLET,495,479,RWD
Chevrolet Corvette C8 Stingray 3LT,CHEVROLET,490,465,RWD
Chevrolet Corvette C8R,CHEVROLET,500,479,RWD
Chevrolet C6R,CHEVROLET,500,480,RWD
Chevrolet Impala 1967,CHEVROLET,274,356,RWD
Corvette C6R,CHEVROLET,495,409,RWD
Corvette ZR-1 1970,CHEVROLET,370,380,RWD
1964 Chevy Impala 409,CHEVROLET,409,350,RWD
Dodge Challenger SRT Demo,DODGE,840,769,RWD
Dodge Challenger SRT Demon,DODGE,840,770,RWD
Dodge Challenger Widebody,DODGE,650,549,RWD
Dodge Charger R/T LD,DODGE,370,395,RWD
Dodge Monaco,DODGE,352,393,RWD
Dodge Monaco Police,DODGE,352,393,RWD
Dodge Viper ACR 2008,DODGE,600,560,RWD
Dodge Viper ACR 2016,DODGE,705,635,RWD
Dodge Viper GTS-R '95,DODGE,650,549,RWD
Ferrari 250 GTO,FERRARI,300,217,RWD
Ferrari 296 GT3,FERRARI,579,523,RWD
Ferrari 312/67,FERRARI,390,0,RWD
Ferrari 312T,FERRARI,495,227,RWD
Ferrari 330 P4,FERRARI,450,0,RWD
Ferrari 458 GT2,FERRARI,470,384,RWD
Ferrari 488 GT3,FERRARI,500,472,RWD
Ferrari 499P LMH 2023,FERRARI,600,406,RWD
Ferrari 599XX EVO,FERRARI,750,516,RWD
Ferrari 812 Superfast,FERRARI,800,530,RWD
Ferrari F138,FERRARI,763,229,RWD
Ferrari F2004,FERRARI,865,0,RWD
Ferrari F40,FERRARI,478,426,RWD
Ferrari F40 Stage 3,FERRARI,610,527,RWD
Ferrari FXX K,FERRARI,1050,664,RWD
Ferrari GTO,FERRARI,400,366,RWD
Ferrari LaFerrari,FERRARI,963,664,RWD
Ferrari SF15-T,FERRARI,840,532,RWD
Ferrari SF70H,FERRARI,1000,590,RWD
Ford Crown Victoria (P71),FORD,281,330,RWD
Ford Escort RS1600,FORD,260,148,RWD
Ford F-150 SVT Raptor 2011,FORD,411,434,AWD
Ford GT 2017,FORD,600,0,RWD
Ford GT40,FORD,430,391,RWD
Ford GT40 GT1,FORD,650,509,RWD
Corvette ZR-1 1970,FORD,370,380,RWD
Ford Mustang 2015,FORD,435,400,RWD
Ford Mustang 2015 Police,FORD,438,414,RWD
Ford Mustang 2015 R1,FORD,600,500,RWD
Ford Mustang 2015 R2,FORD,535,437,RWD
Ford Mustang GT3,FORD,600,463,RWD
Ford Mustang Shelby GT350R 2016,FORD,533,429,RWD
Ford RS200,FORD,580,457,RWD
RTR Mustang,FORD,302,199,RWD
Honda Civic BTCC,HONDA,390,353,FWD
Honda Civic Si,HONDA,201,170,FWD
Honda Civic SiR-II,HONDA,169,123,FWD
Honda NSX-GT,HONDA,650,463,RWD
Koenigsegg Agera,KOENIGSEGG,945,811,RWD
Koenigsegg CCGT,KOENIGSEGG,600,546,RWD
Koenigsegg Jesko,KOENIGSEGG,1600,1106,RWD
KTM X-Bow R,KTM,300,295,RWD
Lamborghini Aventador SV,LAMBORGHINI,750,509,AWD
Lamborghini Countach,LAMBORGHINI,442,369,RWD
Lamborghini Countach S1,LAMBORGHINI,375,266,RWD
Lamborghini Gallardo SL Step3,LAMBORGHINI,1200,0,RWD
Lamborghini Huracan GT3,LAMBORGHINI,620,420,RWD
Lamborghini Sesto Elemento,LAMBORGHINI,570,398,AWD
Lamborghini Urus,LAMBORGHINI,640,639,AWD
Lamborghini Miura P400 SV,LAMBORGHINI,385,295,RWD
Lotus 2-Eleven GT4,LOTUS,270,186,RWD
Lotus 3-Eleven,LOTUS,460,387,RWD
Lotus 72D,LOTUS,440,245,RWD
Lotus 98T,LOTUS,1000,590,RWD
Lotus Elise GT1,LOTUS,607,0,RWD
Lotus Elise SC Step2,LOTUS,217,178,RWD
Lotus Evora GTC,LOTUS,450,339,RWD
Lotus Evora GTE Carbon,LOTUS,420,340,RWD
Lotus Evora S Stage 2,LOTUS,400,310,RWD
Lotus Exige 240R Stage3,LOTUS,270,199,RWD
Lotus Exige GT2,LOTUS,531,361,RWD
Lotus Exige S,LOTUS,345,295,RWD
Lotus Exige S roadster,LOTUS,345,295,RWD
Lotus Exige Scura,LOTUS,257,179,RWD
Lotus Exige V6 CUP,LOTUS,345,295,RWD
Lotus Exos 125,LOTUS,640,332,RWD
Lotus Exos 125 Stage 1,LOTUS,750,0,RWD
Lotus Type 25,LOTUS,195,118,RWD
Lotus Type 49,LOTUS,410,258,RWD
Maserati 250F 12 cylinder,MASERATI,310,0,RWD
Maserati 250F 6 cylinder,MASERATI,270,0,RWD
Maserati Alfieri,MASERATI,460,384,RWD
Maserati GranTurismo MC GT4,MASERATI,430,395,RWD
Maserati Levante S,MASERATI,424,428,AWD
Maserati MC12 GT1,MASERATI,580,479,RWD
Maserati MC20 GT2 2024,MASERATI,460,308,RWD
Maserati Quattroporte GTS,MASERATI,530,524,RWD
Mazda 787B,MAZDA,690,448,RWD
Mazda Miata NA,MAZDA,130,112,RWD
Mazda MX5 Cup,MAZDA,160,148,RWD
Mazda MX5 ND,MAZDA,160,148,RWD
Mazda RX-7 Spirit R,MAZDA,276,232,RWD
Mazda RX-7 Tuned,MAZDA,444,294,RWD
Mazda RX-8 Mazdaspeed 2004,MAZDA,232,159,RWD
McLaren 570S,MCLAREN,562,443,RWD
McLaren 570s,MCLAREN,620,516,RWD
McLaren 650S GT3,MCLAREN,500,369,RWD
McLaren 720S GT3,MCLAREN,500,369,RWD
McLaren F1 GTR,MCLAREN,595,511,RWD
McLaren MP4-12C GT3,MCLAREN,500,369,RWD
McLaren P1 GTR,MCLAREN,986,738,RWD
Mercedes SLS AMG,MERCEDES,571,479,RWD
Mercedes-Benz 190E EVO II,MERCEDES,370,229,RWD
Mercedes-Benz AMG GT3,MERCEDES,520,443,RWD
Mercedes-Benz C9 1989 LM,MERCEDES,750,369,RWD
Nissan 370z Nismo,NISSAN,350,276,RWD
